date,top10_Liquid,top10_Market
2017-02-07,"['BTC', 'ETH', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'ZEC', 'XRP', 'XEM']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'XEM', 'REP']"
2017-02-08,"['BTC', 'ETH', 'LTC', 'XMR', 'DASH', 'ETC', 'ZEC', 'XRP', 'REP', 'XEM']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'XEM', 'REP']"
2017-02-09,"['BTC', 'LTC', 'ETH', 'ETC', 'XMR', 'DASH', 'XRP', 'ZEC', 'MAID', 'REP']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-10,"['BTC', 'ETH', 'LTC', 'XMR', 'ETC', 'DASH', 'XRP', 'MAID', 'ZEC', 'BTS']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-11,"['BTC', 'ETH', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'ZEC', 'XRP', 'ARDR']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-12,"['BTC', 'ETH', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'ZEC', 'XEM', 'XRP']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-13,"['BTC', 'ETH', 'LTC', 'MAID', 'XMR', 'DASH', 'ETC', 'ZEC', 'XRP', 'XEM']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-14,"['BTC', 'ETH', 'XMR', 'LTC', 'MAID', 'DASH', 'ETC', 'ZEC', 'XRP', 'REP']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-15,"['BTC', 'ETH', 'XMR', 'DASH', 'LTC', 'MAID', 'ETC', 'ZEC', 'XRP', 'REP']","['BTC', 'ETH', 'XRP', 'XMR', 'LTC', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-16,"['BTC', 'ETH', 'LTC', 'XMR', 'DASH', 'XRP', 'ETC', 'MAID', 'ZEC', 'REP']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-17,"['BTC', 'ETH', 'LTC', 'DASH', 'MAID', 'XMR', 'XRP', 'ETC', 'ZEC', 'XEM']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-18,"['BTC', 'ETH', 'DASH', 'LTC', 'XMR', 'XRP', 'ETC', 'MAID', 'ZEC', 'STEEM']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-19,"['BTC', 'ETH', 'DASH', 'LTC', 'XMR', 'XRP', 'ETC', 'MAID', 'ZEC', 'XEM']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
