Date,BITW100
Wed May 31 2017 00:00:00 GMT+0000,4216.29
Thu Jun 01 2017 00:00:00 GMT+0000,4428.03
Fri Jun 02 2017 00:00:00 GMT+0000,4773.59
Sat Jun 03 2017 00:00:00 GMT+0000,4843.91
Sun Jun 04 2017 00:00:00 GMT+0000,4891.83
Mon Jun 05 2017 00:00:00 GMT+0000,4997.26
Tue Jun 06 2017 00:00:00 GMT+0000,5219.36
Wed Jun 07 2017 00:00:00 GMT+0000,5460.81
Thu Jun 08 2017 00:00:00 GMT+0000,5245.34
Fri Jun 09 2017 00:00:00 GMT+0000,5425.79
Sat Jun 10 2017 00:00:00 GMT+0000,5559.28
Sun Jun 11 2017 00:00:00 GMT+0000,5836.73
Mon Jun 12 2017 00:00:00 GMT+0000,5981.8
Tue Jun 13 2017 00:00:00 GMT+0000,5842.87
Wed Jun 14 2017 00:00:00 GMT+0000,5993.35
Thu Jun 15 2017 00:00:00 GMT+0000,5554.81
Fri Jun 16 2017 00:00:00 GMT+0000,5484.87
Sat Jun 17 2017 00:00:00 GMT+0000,5613.09
Sun Jun 18 2017 00:00:00 GMT+0000,5896.68
Mon Jun 19 2017 00:00:00 GMT+0000,5794.6
Tue Jun 20 2017 00:00:00 GMT+0000,5906.99
Wed Jun 21 2017 00:00:00 GMT+0000,5995.82
Thu Jun 22 2017 00:00:00 GMT+0000,5780.6
Fri Jun 23 2017 00:00:00 GMT+0000,5786.18
Sat Jun 24 2017 00:00:00 GMT+0000,5956.08
Sun Jun 25 2017 00:00:00 GMT+0000,5672.47
Mon Jun 26 2017 00:00:00 GMT+0000,5488.66
Tue Jun 27 2017 00:00:00 GMT+0000,5110.05
Wed Jun 28 2017 00:00:00 GMT+0000,5277.14
Thu Jun 29 2017 00:00:00 GMT+0000,5514.97
Fri Jun 30 2017 00:00:00 GMT+0000,5284.93
Sat Jul 01 2017 00:00:00 GMT+0000,5167.63
Sun Jul 02 2017 00:00:00 GMT+0000,4951.22
